171 24.5 0 1.6 325 34 13.5 37.5
172 24.4 0 1.1 333.33 38.8 13 37.3
173 26.9 0 2.3 287.5 37.3 13 37.2
174 22.3 0 2.3 258.33 52.3 12.8 36.7
175 19 0 1.9 137.5 59.3 10.8 36.5
176 20.1 0 2.2 137.5 54.5 11.3 36
177 19.6 0 1.7 187.5 52.5 13 35.8
178 19.2 0 1.2 112.5 64.3 10 35.5
179 20.2 0.98 1.8 154.17 71 9.8 36.9
180 19.1 0.14 1.5 162.5 56.8 10 38.2
181 18.5 0 1.7 175 52.3 11.8 38.2
182 16.3 0.42 1.8 54.167 92.3 3 38.1
183 16.9 0.08 1.8 137.5 75.3 11 38.3
184 17.8 0 1.5 300 45 13.8 38.5
185 19.9 0 1.4 225 62.8 12.3 38.8
186 21.9 0 1.2 266.67 43.8 13.5 38.9
187 21.7 0.14 1.2 254.17 38 10.8 38.8
188 24.7 0 2.4 304.17 47.3 13.5 39
189 23.2 0 1.4 275 41 11 39
190 22.6 0 1.6 270.83 49.3 12.8 38.8
191 21.6 0.34 1.7 195.83 59.5 8.8 38.5
192 19.5 0.34 1.7 200 48.5 8.8 38.4
193 16.7 1.64 2.3 75 90.8 6 41.9
194 15.8 0 1 325 47.8 12.5 43.6
195 16.5 0.14 1.7 179.17 40.5 9 43.3
196 17.5 0 1.7 204.17 47.3 10.8 43
197 19.5 0 1.5 108.33 75 9 43
198 19.8 0.32 1.2 191.67 79 10.3 43.1
199 21.9 0 1.2 341.67 38.8 13.5 43.4
200 23.7 0.88 2 216.67 41.5 10 44.1
201 21.8 1.32 1.9 195.83 57.8 10.5 47.2
202 20.5 0 1.2 333.33 44 13.3 46.7
203 23.1 0.02 1.8 233.33 60.5 12.3 46.4
204 17.9 1.32 1.9 179.17 55.5 11.8 47.1
205 15.9 1.2 1.5 166.67 78.8 9.8 48.2
206 15.5 2.7 3.4 79.167 77.5 6 50.7
207 18.7 0.02 2.6 208.33 70.3 10.8 50.2
208 19.4 0.2 1.5 170.83 66.3 11.8 50
209 18.2 0.1 1.7 191.67 55.5 11.5 49.1
210 22 0 1.8 200 60.3 11.8 49
211 24.1 0 2.3 245.83 47 12 49
