60 8.7 0.26 0.8 120.83 63 7.3 45.2
61 8.7 0.26 0.8 120.83 63 7.3 45.2
62 11.8 1.22 1.9 120.83 59.8 8 44.1
63 7.7 0.64 1.3 100 74 7.3 45.4
64 8.3 0.84 2.4 83.333 81 4.8 43.2
65 9.8 0.88 3.2 116.67 63 7.8 44.6
66 7.2 0.8 1.2 45.833 88.5 4 43
67 11.1 0.06 1.4 54.167 89 5 43
68 11.3 0 0.8 66.667 75 6 42.7
69 12.7 0 1.3 191.67 65 9.3 42.5
70 13.1 0 0.5 195.83 54.3 9.3 42.5
71 11.2 0.26 1.2 20.833 90.8 0 42.5
72 10.9 0 2.2 133.33 68 7.5 42.5
73 10.4 0 1.9 187.5 73 9 42.1
74 9.9 0 3 204.17 70.8 9 42.1
75 12.1 0 0.7 216.67 53.3 9.5 41.5
76 8.7 0 0.9 137.5 82 9 42.2
77 8.9 0 1 58.333 79.5 6.3 42.7
78 10.8 0 1.1 66.667 84 7.3 42.7
79 10.1 0 1.1 75 71 7 42.6
80 8.3 0.62 1.4 70.833 84.3 7.8 43.1
81 6.2 0.14 1.4 62.5 83.5 5.8 43.4
82 6.1 0.44 1 83.333 88 6.8 43.6
83 6.7 0 2.8 133.33 78 8.8 44
84 10.9 0 4.2 158.33 80.5 8.8 44
85 11.9 0 1.3 220.83 54 10 44
86 12.7 0 1.1 212.5 49.3 10.3 43.8
87 12.8 0.02 1 195.83 60.3 9.8 43.7
88 12.8 0 0.6 237.5 44 10 43.5
89 15.1 0 1 233.33 40.5 10 43
90 12.9 0.18 1 70.833 83.3 5.5 42.8
91 10.1 0.34 1 158.33 87.8 9.3 42.7
92 10.1 0.02 1.3 162.5 71.8 10.3 43
93 11.3 0 0.8 237.5 53.8 10.8 43
94 10.7 0.22 1.5 212.5 53 9 42.7
95 11 0 2.2 187.5 70 10.5 42.2
96 10 0 2.9 270.83 56.5 10.8 42
97 11.4 0 2.1 275 45.8 10.8 41.6
98 16.6 0 1.3 279.17 42.3 10.8 41.1
99 17.5 0 0.8 275 41.5 10.8 40.9
100 14.3 0 1.2 266.67 62.5 10.3 40.5
101 11.4 0 1.6 270.83 55.3 10.8 39.7
102 11.8 0 1.1 283.33 41.8 10.8 39.5
103 13.2 0 1.1 279.17 49.8 10.5 39.1
104 12.6 0 1.5 254.17 53 10.8 39.1
105 10.8 0 1.1 141.67 57 9.8 38.9
106 11.3 0 1.1 241.67 53.3 10.8 38.4
107 10.4 0 1 237.5 56.3 11 38
108 10.6 0 2.3 300 36.8 11.5 38
109 7.9 0 2.3 304.17 39 11.3 37.1
110 7.7 0 2.5 308.33 35.5 11.3 36.9
111 11.1 0 2 308.33 25 11.3 36.5
112 14.1 0 1.8 308.33 27.3 11.3 36
113 12.8 0 2.5 312.5 47.3 11.5 35.6
114 12.8 0 1.8 304.17 41 11.5 35.5
115 8.3 0.52 1.8 83.333 77.8 7.8 35
116 6.3 0 1.5 250 61.3 10 35.4
117 5.7 0 1.4 245.83 50 10.5 35
118 7.1 0 0.8 208.33 44.3 11.8 34.6
119 10.4 0 0.9 316.67 33.8 10.8 34.5
120 10.4 1.14 1.9 104.17 81.5 8 35.7
121 9 1.14 1.4 204.17 70.5 9 39.2
122 11.1 0.06 1.4 200 71.3 10.3 40.5
123 10.9 0 0.8 229.17 49.3 9 40
124 11.1 0 1.9 283.33 73 11.5 39.7
125 15.2 0.02 1.6 229.17 49.3 10.8 39
126 14.1 1.1 1.4 200 69.3 10.8 40.8
127 13.7 0 1.4 187.5 68 10 41.3
128 11.2 0 1.3 279.17 65.5 11 40.6
129 11.9 0 2.2 325 57.3 11 40
130 12.8 0.22 1.4 141.67 78.5 9 39.6
131 15 0.32 1.6 191.67 77.3 10.5 39.6
132 15.2 0.4 1 212.5 58.3 11.8 40.4
133 14.9 0.02 0.8 216.67 56.5 11.8 41
134 15 0 1 266.67 58.8 12 40.5
135 17.7 0 0.6 316.67 41.5 11 39.9
136 21.3 0 0.6 316.67 38.3 11.5 39.2
137 19.5 0.16 1.1 191.67 44.5 8.8 38.3
138 13.1 2.32 1.1 54.167 95 3.8 40.7
139 11.1 0.16 0.8 237.5 78.5 12.5 44
140 12.3 0.2 1 241.67 70 12.3 44
141 15 0 0.9 333.33 47.8 11.5 43.4
142 17.4 0 0.7 200 67.5 12.3 42.5
143 17 0 0.7 212.5 74.5 11.5 42.4
144 19 0 1.4 337.5 58 11.5 41.6
145 21.9 0 1.8 341.67 52 11.5 41.1
146 24 0 1 333.33 45.5 11.5 40
147 22.2 0 0.8 283.33 53.8 12 39.5
148 24.6 0 0.9 312.5 40.8 12.3 38.6
149 20.2 0.12 0.9 162.5 79.5 11 38
150 19 0 1.4 316.67 60.5 12.3 37.4
151 19.4 0 1.5 233.33 59.3 11.5 36.8
152 20.6 0 0.6 250 55.8 9.5 36
153 21.9 0 0.8 312.5 47 11.8 35.7
154 17 0.62 1 95.833 91.3 10 35.3
155 15.8 0 1.1 291.67 51.5 11.3 35.9
156 16.6 0.06 1.1 287.5 53 11.3 34.9
157 15.1 0.7 1.7 270.83 66.5 12.5 37.5
158 15.2 0 0.7 216.67 56.5 12 36.6
159 20.1 0.22 1.1 312.5 40 11 35.6
160 18.3 0.68 0.9 229.17 66.8 12 37.6
161 19.5 0 0.6 341.67 49.3 11.5 36.3
162 22.7 0 1.1 316.67 45 11.3 35.2
163 19.7 0 1.5 350 50.3 11.8 34.4
164 21.2 0 1.8 254.17 50.5 9.5 33.5
165 23.7 0 1 283.33 61.5 11 33.3
