65 1.9 0.02 2 16.667 88 0.8 58.5
66 1.9 0 1.5 41.667 82 3.8 58.5
67 3.9 0.14 2.9 41.667 74.5 3.5 58.5
68 5.7 0.96 3.2 45.833 85 3 58.5
69 6 0 3.1 104.17 84 8.3 58.5
70 6 0 2 133.33 63.3 8.3 58.5
71 4.4 0 3.1 108.33 62 7.3 58.5
72 4.1 0.02 2 95.833 67.8 7.8 58.5
73 7.5 0 3.6 104.17 76 6.3 58.7
74 6.8 0 2.8 154.17 76.8 8.8 58.8
75 8.7 0 2.9 141.67 63.8 8.5 58.9
76 6.7 0.2 4.8 100 77.3 7.5 59
77 5.6 0.72 5 104.17 75.3 7.5 59.4
78 5 2.16 3.5 25 95.8 0.3 59.3
79 8.9 0.48 4.2 33.333 93.5 1.5 59.5
80 6.5 0.18 4.7 158.33 72 9 59.5
81 5.9 0 2.3 191.67 47.5 10.3 59.5
82 5.8 0 2.5 154.17 56.3 9.8 59.5
83 5.2 0 1.1 191.67 43.8 10.5 59.4
84 5.8 0 1.7 145.83 78 8.8 59.4
85 7 0 1 166.67 72 9.8 59.5
86 6.9 0 0.9 200 61.5 10.3 59.4
87 8.4 0 1.1 204.17 49.3 10.8 59.3
88 9 0.12 2.9 75 89 7.5 59.2
89 12.2 0.04 2.3 116.67 75.5 8.5 59.5
90 14.3 0 2.1 175 58.5 9.8 59.4
91 11.7 0.2 1.1 104.17 74.5 9 59.4
92 9.5 0 2 191.67 77 9.8 59.4
93 8.5 0 1.4 225 61.5 11 59.3
94 7.6 0 1.2 216.67 62.5 11.3 60
95 7.3 0 3.7 170.83 74 10 60
96 7.3 0 3 158.33 71 10.3 60
97 8 0 3.8 70.833 92.8 8 60
98 8.9 0 1.8 158.33 78 9.8 60
99 9.9 0 1.4 241.67 62 11.3 60
100 9 0 4.3 141.67 65.8 8.5 60
101 7.4 0.2 3.7 179.17 69.8 10.5 60
102 8.1 1.16 4.3 41.667 94 1.5 60
103 7.7 0.06 4.1 141.67 80 10.3 60
104 8.2 0 3.1 116.67 81.5 9.5 60
105 7.6 0.52 4.2 170.83 76.5 9.5 60
106 6.9 0.04 2.8 200 67 10.8 60
107 5.7 0.08 1.9 237.5 66.5 11 60
108 4 0.08 2.5 237.5 53 11.5 60
109 2.9 0 1.3 187.5 48.5 11 60
110 4.8 0 1.9 208.33 55.8 11.3 60
111 9.4 0.1 3.9 129.17 85 9.5 60
112 6.4 0.2 3.6 200 72.3 11 60
113 5.8 0.14 2.8 191.67 62.8 11 60
114 6.8 0.02 3.7 100 81 8.3 60
115 4.7 0.32 2.3 220.83 77.5 11 60
116 5 0 1.1 241.67 60 12.5 60
117 5.7 0.06 2.3 208.33 70 10.8 60
118 6.9 0.14 2.8 141.67 74.8 10.8 60
119 6.1 0.12 1.6 208.33 75.3 11.5 60
120 8.1 0 3.7 304.17 54.5 13 60
121 10.4 0 4.9 237.5 54.8 12.5 60
122 9.9 0.34 4.1 187.5 52.5 11 60
123 9.9 0 3.3 141.67 71.5 10.3 60
124 9.3 0 3.9 141.67 59.8 9.5 60
125 8.2 0.18 2.6 66.667 84.5 5.8 60
126 10 0 1.5 150 78.8 10 60
127 9.4 0 1.5 308.33 60 12 60
128 8.7 0 2.5 212.5 56.8 10.3 60
129 6.2 0 1.6 275 55.8 12.3 60
130 7.7 0.02 2.1 166.67 72.5 10.8 60
131 10.2 0 2.6 320.83 53.5 12.8 60
132 13.4 0 3 145.83 75.8 11 60
133 13.5 0.4 1.6 150 82.5 8.3 60
134 14.6 0.04 1.4 295.83 61.3 11.8 60
135 14.2 0.08 1.4 279.17 53 10.3 60
136 14.9 0.86 2.3 100 93.5 8 60
137 19.6 0 1.7 216.67 68.8 12 60
138 16.6 0 2.2 237.5 85.8 11.3 60
139 14.5 0.86 1.8 108.33 76 8 60
140 13.4 0.64 1.7 295.83 69.3 12 60
141 13.1 0 1.2 325 59.8 13.8 60
142 15.3 0 1.1 329.17 42.3 13.8 60
143 15 0 2.6 266.67 64.5 11.5 60
144 13 0 2.4 191.67 75 11.5 60
145 13.8 0 2.2 270.83 81 11.8 60
146 15.2 0 1.3 300 80.8 13 60
147 19.1 0 2.3 350 58 14 60
148 17.9 0 1.8 295.83 74.5 12.5 60
149 16.5 0 1.2 187.5 83.5 11 60
150 16.6 0.06 2.3 183.33 84.8 12 60
151 13.9 0 3 245.83 67.3 13.3 60
152 12.5 0 1.4 337.5 65.8 14 60
153 14.4 0 1 358.33 41.8 13.8 60
154 16.7 0 2.1 158.33 75.5 10.8 60
155 15.4 0.12 2 245.83 73.5 10.3 60
156 15.4 0 2.2 300 51.5 13.3 60
157 15.6 0.18 3.3 225 63 12.5 60
158 12 1.2 6 79.167 89.8 7.8 60
159 13.9 0.26 3.5 125 88.5 11 60
160 15.6 1.16 1.7 170.83 75 9 60
161 15.8 0 1.6 270.83 64.8 12.3 60
162 19.9 0 2.9 312.5 62.3 12.8 60
163 15.7 0.18 4.2 250 78 12.5 60
164 14.1 0 2.9 108.33 81.5 9.3 60
165 15.4 0 1.2 320.83 73.5 13.8 60
166 17.4 0.06 1.9 245.83 61 13 60
167 15.3 0.02 3.6 241.67 75.5 14.3 60
168 15.7 0 2.5 279.17 72 12.8 60
169 18.7 0 1.2 337.5 70 14.3 60
170 20.8 0 0.6 291.67 59.5 14 60
171 17.3 0 0.9 316.67 61.8 13.5 60
172 14.5 0 0.8 312.5 61.3 14 60
173 17 1.88 2.3 200 88.5 8.5 60
174 16.6 0.1 3.5 154.17 81.3 8.5 60
