60 6.8 0 3.1 130 62 9 55
61 6.8 0 2.2 137.5 61.3 8.8 55
62 8.1 0 2.4 91.667 67.5 7.8 55
63 8.4 0.5 2.2 62.5 80.3 3.3 55.1
64 5 1.3 2.9 45.833 91.5 3.3 55.4
65 5.8 0.08 2.4 58.333 85.8 4.5 55.1
66 4.9 0 1.2 100 71.5 7.5 55
67 6.3 0.32 2.5 20.833 96 0.3 55.2
68 10.7 0.18 1.9 25 93.8 1.5 55.5
69 7.6 0.02 1.1 154.17 66.5 8.8 55.5
70 8 0 1.2 145.83 49.8 9 55
71 9.4 0 1.8 150 53 9 55
72 7.9 0 1.6 175 57 9.3 54.7
73 7.5 0 0.8 158.33 53.5 8.3 54.5
74 9.6 0 0.8 129.17 67 8.5 54.1
75 10.2 0 1 187.5 47.8 9.8 54
76 7.6 0 1.3 95.833 68.8 6.8 53.2
77 8.3 1.32 3 41.667 95 3.5 54.4
78 10.4 0.04 2.4 41.667 88.3 3.8 54.5
79 9.9 0 2 79.167 71.5 6.5 54.5
80 7.7 0.22 1.5 66.667 86.8 7.8 54.5
81 6.3 0 2.2 145.83 65.3 8.8 54.5
82 9 0.12 3.1 141.67 62.5 9.3 54.5
83 8.9 0 1.9 95.833 77 7.8 54.5
84 10.9 0 3 229.17 43.8 10.3 54
85 10.3 0 2.3 216.67 55 10 53.9
86 10.3 0 1.8 229.17 43.5 10.3 53.1
87 11.3 0 1.2 212.5 56 9.5 53
88 10.9 0 0.8 208.33 52.5 10.3 52.5
89 14.6 0 1.5 229.17 45.5 10.8 52.5
90 14 0 2 166.67 43 8.8 51.6
91 10.5 0.56 1.2 91.667 82.3 8 52.3
92 10.1 0 1 233.33 60.3 10.5 52.7
93 11.4 0 1.2 241.67 46.3 10.5 52.2
94 10.1 0 1 187.5 45.3 10.5 51.9
95 8.9 0 2.3 195.83 69.5 9.5 51.5
96 6.3 0 1.4 133.33 63.3 11 51.5
97 7.8 0 0.9 254.17 57.5 10.5 51.5
98 10.8 0 0.8 262.5 59 11 50.7
99 13.6 0 0.8 266.67 43.5 11.3 50.5
100 9.7 0 1.8 158.33 66.3 9.8 50.2
101 8.1 0 1.2 262.5 48 10.5 49.7
102 9.6 0 1.2 266.67 50 11.5 49.5
103 9 0 1 158.33 63.8 10 49.1
104 10.8 0 0.9 187.5 51.5 10.5 49
105 8.8 0.02 1 95.833 79.8 9 49
106 9.5 0 1.3 162.5 53.5 9.5 49
107 8.2 0.02 1.6 158.33 80.3 10.8 48.5
108 4.3 0.02 1.3 208.33 62.5 11.3 48.5
109 4.2 0 1.1 258.33 48.8 12 48.5
110 4.7 0 1 300 39.5 12 48.5
111 7.2 0 0.8 287.5 34.8 12 48.3
112 9.6 0 1.1 116.67 59.5 10.3 48
113 6.8 0 1 312.5 48 12.3 48
114 9 0 0.8 300 41.3 12.3 48
115 6.7 0 1.5 137.5 52.5 8.5 47.5
116 5.6 0 1.3 191.67 43.5 10.5 47
117 5.2 0 1.8 262.5 48 10.5 47
118 4.8 0.02 0.7 133.33 60.5 7.5 47
119 7.9 0 1 312.5 42 11.5 47
120 12.9 0.02 3.6 291.67 31.8 12 47
121 10.2 0.1 1.9 229.17 53.5 10.8 46.8
122 9.7 0 1.1 279.17 46.3 12 46.5
123 9.2 0.16 0.9 108.33 91 7.5 46.5
124 10.2 0.46 1 220.83 78.5 11.5 46.8
125 11.7 0 1.4 245.83 65.5 12 47
126 11.8 0.46 2 75 90.3 6.3 47
127 10.6 0.86 1.9 37.5 95.5 0.5 48.6
128 8.6 0 2 100 75.5 8.5 49.8
129 9.9 0 0.9 300 52.5 12.8 49.4
130 12.5 0 1.8 341.67 40 12.8 48.9
131 15.4 0 2.1 233.33 45 11.5 48.4
132 15.5 0.46 1.6 204.17 55.3 9.8 48.2
133 15.2 0 1 258.33 70.8 12.3 48.5
134 14.1 1.08 1 250 60.5 10.3 48.7
135 15.6 0 0.7 325 52 12.8 50.4
136 19 0 0.7 320.83 48 12.5 49.7
137 21.2 0 1.2 312.5 40.5 12.3 48.9
138 17.9 1.5 1.2 166.67 84 10 51.2
139 11.8 0.02 1.2 170.83 72 11 51.6
140 12 0.04 1 287.5 58.8 11.8 51.3
141 14 0 1.1 333.33 49.5 13.3 50.1
142 17.5 0 1.2 329.17 44.8 13.3 49.3
143 17.4 0 1.3 304.17 61.3 13 48.8
144 17.3 0 1.3 308.33 60.3 12.5 48
145 18.7 0 1 350 48 13.3 47.6
146 20.1 0 2.6 354.17 43.5 13.3 46.8
147 22.9 0 1.3 333.33 54.5 12.8 46.2
148 24.4 0 0.7 325 56.5 12.8 45.4
149 23.2 0 1.1 316.67 58 12.3 44.6
150 18.8 0.08 1.1 204.17 72 11.8 44
151 16.7 0 1.1 337.5 61.3 13.5 43.6
152 19.7 0 0.8 329.17 53.5 13.3 43
153 20.5 0 0.7 266.67 53.8 11.3 42.6
154 18.2 0.8 1.2 162.5 73 11.3 42.1
155 14.2 0.22 1.3 237.5 68.8 10.5 42.9
156 15.7 0 0.9 329.17 50.8 12.5 43
157 12.9 0.8 1.8 200 67.3 9.3 43.2
158 12.8 0.02 1.4 250 64.3 13 44
159 16.9 0 1.2 329.17 55.5 13 43.9
160 16.7 0.56 1.3 216.67 77.5 11 44
161 18.6 0 0.8 354.17 49.8 13.3 44
162 22.5 0 0.9 337.5 48.3 12.8 43.5
163 17.4 0 1.6 341.67 53.3 12.8 43
164 16 0 0.9 300 58.3 13 42.5
165 20.7 0 1.3 316.67 49.8 12.8 42.5
166 21.2 0 1.1 279.17 56 12.8 41.8
167 16.4 0 1.4 287.5 57.8 13.3 41.5
168 17.1 0 0.7 229.17 61 12 41.1
169 21.1 0 1.3 354.17 50.8 13.5 41.1
170 22.6 0 1.1 358.33 41.3 13.5 41
171 23.2 0 0.7 350 39 13.5 40.4
172 25.1 0 0.7 325 41 13.3 40.1
173 27.3 0 1.3 320.83 40 13.3 40
174 19.7 0 1.5 329.17 55.5 13.5 39.8
175 18.1 0 1 266.67 51.8 12.3 39.1
176 19.4 0 0.9 212.5 58 11.5 39
177 20.2 0.3 1 316.67 53.5 13.3 38.9
178 21.2 0.86 1.2 225 67 10.5 40.3
179 18.1 1.84 1.2 166.67 80.3 10.5 42.8
180 16.8 0.22 1.2 216.67 76 12 46.6
181 15.2 0.5 1.6 183.33 76.5 11.8 46.6
182 14.7 1.02 1.2 54.167 99.8 5 49.6
183 15.8 0 0.8 158.33 73 12.5 50.2
184 18.6 0 1 233.33 64 11.5 49.2
185 19.2 0 0.7 341.67 57.5 13.5 48.4
186 23 0 0.6 329.17 38.5 13 47.2
187 25 0 1 262.5 44.3 12.5 46.6
188 24.6 0 1.1 295.83 48.8 12.5 46
189 23.2 0 1.2 304.17 42.8 13.3 45.5
190 21.8 0.6 0.9 183.33 53.3 10.8 45.1
191 19.1 1.04 0.8 154.17 87 10.3 46.1
192 18.5 0.28 1.1 195.83 92.5 12.3 48.5
193 17.9 1.26 1.5 133.33 90.5 9 50.8
194 17.5 0 1.1 283.33 49.3 11.3 51.1
195 18.1 0 1.5 270.83 42.8 12 49.9
196 17.7 0 0.7 287.5 48.3 11.5 48.7
197 21.5 0 0.8 254.17 65.8 12.5 48.2
