61 0.26976
63 0.25357
65 0.23857
66 0.26
68 0.27619
69 0.27
71 0.25
73 0.25619
74 0.24
76 0.25119
77 0.26
79 0.30095
81 0.26905
82 0.27
84 0.26929
85 0.25976
87 0.23333
89 0.235
92 0.22262
93 0.21
95 0.17167
97 0.20905
98 0.21262
100 0.17024
101 0.16095
103 0.19
105 0.18357
106 0.18
108 0.26952
109 0.25786
111 0.23
113 0.22619
114 0.19
117 0.205
119 0.20024
121 0.19667
124 0.25976
125 0.25333
127 0.25
129 0.23071
130 0.21
132 0.21
133 0.19
135 0.21476
137 0.19952
138 0.18024
140 0.21286
141 0.19
143 0.17571
145 0.18595
146 0.16048
148 0.15262
149 0.15595
153 0.15
154 0.14476
156 0.2
157 0.18071
159 0.17
161 0.18
164 0.14
165 0.12571
167 0.14524
169 0.15
170 0.11
172 0.12976
173 0.10333
175 0.10976
177 0.12095
178 0.13
180 0.18833
183 0.20762
185 0.18
186 0.16524
189 0.19
191 0.15952
193 0.21714
196 0.20452
197 0.19476
199 0.1919
